threshold,window_start,gateway_windows,batch_latency_ms,latency_ms_per_gateway_window
0.1,2020-07-08 23:35:00+00:00,3,8.5998,2.8666
0.1,2020-07-08 23:40:00+00:00,3,10.5549,3.5183
0.1,2020-07-08 23:45:00+00:00,3,3.6784,1.2261333333333333
0.1,2020-07-08 23:50:00+00:00,3,6.5808,2.1936
0.1,2020-07-08 23:55:00+00:00,2,12.4387,6.21935
0.1,2020-07-09 00:00:00+00:00,2,14.1453,7.07265
0.1,2020-07-09 00:05:00+00:00,3,9.8252,3.275066666666667
0.1,2020-07-09 00:10:00+00:00,2,8.7118,4.3559
0.1,2020-07-09 00:15:00+00:00,2,8.9633,4.48165
0.1,2020-07-09 00:20:00+00:00,3,9.9847,3.3282333333333334
0.1,2020-07-09 00:25:00+00:00,2,10.0157,5.00785
0.1,2020-07-09 00:30:00+00:00,2,9.5775,4.78875
0.1,2020-07-09 00:35:00+00:00,2,8.6533,4.32665
0.1,2020-07-09 00:40:00+00:00,2,8.0677,4.03385
0.1,2020-07-09 00:45:00+00:00,2,7.7067,3.85335
0.1,2020-07-09 00:50:00+00:00,2,8.5936,4.2968
0.1,2020-07-09 00:55:00+00:00,2,7.7269,3.86345
0.1,2020-07-09 01:00:00+00:00,2,9.216,4.608
0.1,2020-07-09 01:05:00+00:00,2,6.6432,3.3216
0.1,2020-07-09 01:10:00+00:00,2,12.9528,6.4764
0.1,2020-07-09 01:15:00+00:00,2,9.5873,4.79365
0.1,2020-07-09 01:20:00+00:00,2,5.0774,2.5387
0.1,2020-07-09 01:25:00+00:00,2,5.953,2.9765
0.1,2020-07-09 01:30:00+00:00,3,8.2312,2.743733333333333
0.1,2020-07-09 01:35:00+00:00,3,7.3797,2.4598999999999998
0.1,2020-07-09 01:40:00+00:00,2,8.1674,4.0837
0.1,2020-07-09 01:45:00+00:00,2,7.9611,3.98055
0.1,2020-07-09 01:50:00+00:00,3,8.4327,2.8109
0.1,2020-07-09 01:55:00+00:00,3,6.6738,2.2246
0.1,2020-07-09 02:00:00+00:00,2,8.8272,4.4136
0.1,2020-07-09 02:05:00+00:00,2,7.1473,3.57365
0.1,2020-07-09 02:10:00+00:00,3,9.0414,3.0138
0.1,2020-07-09 02:15:00+00:00,3,7.2238,2.4079333333333333
0.1,2020-07-09 02:20:00+00:00,3,9.6037,3.201233333333333
0.1,2020-07-09 02:25:00+00:00,3,7.6313,2.543766666666667
0.1,2020-07-09 02:30:00+00:00,3,7.9696,2.6565333333333334
0.1,2020-07-09 02:35:00+00:00,2,7.7652,3.8826
0.1,2020-07-09 02:40:00+00:00,2,8.0136,4.0068
0.1,2020-07-09 02:45:00+00:00,3,6.7447,2.2482333333333333
0.1,2020-07-09 02:50:00+00:00,3,6.4514,2.1504666666666665
0.1,2020-07-09 02:55:00+00:00,3,7.8536,2.6178666666666666
0.1,2020-07-09 03:00:00+00:00,3,8.4466,2.815533333333333
0.1,2020-07-09 03:05:00+00:00,2,7.6612,3.8306
0.1,2020-07-09 03:10:00+00:00,2,4.2733,2.13665
0.1,2020-07-09 03:15:00+00:00,3,7.9573,2.652433333333333
0.1,2020-07-09 03:20:00+00:00,3,8.7991,2.933033333333333
0.1,2020-07-09 03:25:00+00:00,3,9.0158,3.005266666666667
0.1,2020-07-09 03:30:00+00:00,2,8.3466,4.1733
0.1,2020-07-09 03:35:00+00:00,2,10.6448,5.3224
0.1,2020-07-09 03:40:00+00:00,2,8.978,4.489
0.1,2020-07-09 03:45:00+00:00,3,8.7846,2.9282
0.1,2020-07-09 03:50:00+00:00,3,8.5153,2.838433333333333
0.1,2020-07-09 03:55:00+00:00,3,7.8911,2.6303666666666667
0.1,2020-07-09 04:00:00+00:00,3,8.7184,2.9061333333333335
0.1,2020-07-09 04:05:00+00:00,3,8.023,2.6743333333333332
0.1,2020-07-09 04:10:00+00:00,3,7.1659,2.3886333333333334
0.1,2020-07-09 04:15:00+00:00,3,5.2799,1.7599666666666665
0.1,2020-07-09 04:20:00+00:00,2,7.1683,3.58415
0.1,2020-07-09 04:25:00+00:00,2,9.1048,4.5524
0.1,2020-07-09 04:30:00+00:00,2,6.8239,3.41195
0.1,2020-07-09 04:35:00+00:00,2,6.8082,3.4041
0.1,2020-07-09 04:40:00+00:00,3,4.5416,1.5138666666666667
0.1,2020-07-09 04:45:00+00:00,3,7.571,2.5236666666666667
0.1,2020-07-09 04:50:00+00:00,2,6.2955,3.14775
0.1,2020-07-09 04:55:00+00:00,2,6.0699,3.03495
0.1,2020-07-09 05:00:00+00:00,2,9.4632,4.7316
0.1,2020-07-09 05:05:00+00:00,2,6.0045,3.00225
0.1,2020-07-09 05:10:00+00:00,2,7.9972,3.9986
0.1,2020-07-09 05:15:00+00:00,2,10.7509,5.37545
0.1,2020-07-09 05:20:00+00:00,2,15.7352,7.8676
0.1,2020-07-09 05:25:00+00:00,2,16.3317,8.16585
0.1,2020-07-09 05:30:00+00:00,2,11.3753,5.68765
0.1,2020-07-09 05:35:00+00:00,2,9.3004,4.6502
0.1,2020-07-09 05:40:00+00:00,2,9.5516,4.7758
0.1,2020-07-09 05:45:00+00:00,2,9.3242,4.6621
0.1,2020-07-09 05:50:00+00:00,3,8.5879,2.862633333333333
0.1,2020-07-09 05:55:00+00:00,3,7.9664,2.655466666666667
0.1,2020-07-09 06:00:00+00:00,3,8.09,2.6966666666666668
0.1,2020-07-09 06:05:00+00:00,3,9.8495,3.283166666666667
0.1,2020-07-09 06:10:00+00:00,3,10.0124,3.3374666666666664
0.1,2020-07-09 06:15:00+00:00,3,9.7977,3.2659000000000002
0.1,2020-07-09 06:20:00+00:00,3,10.5765,3.5254999999999996
0.1,2020-07-09 06:25:00+00:00,3,9.4294,3.143133333333333
0.1,2020-07-09 06:30:00+00:00,3,8.9407,2.980233333333333
0.1,2020-07-09 06:35:00+00:00,3,8.2265,2.7421666666666664
0.1,2020-07-09 06:40:00+00:00,2,8.296,4.148
0.1,2020-07-09 06:45:00+00:00,2,6.8859,3.44295
0.1,2020-07-09 06:50:00+00:00,3,7.3384,2.4461333333333335
0.1,2020-07-09 06:55:00+00:00,3,6.3802,2.1267333333333336
0.1,2020-07-09 07:00:00+00:00,3,9.5258,3.175266666666667
0.1,2020-07-09 07:05:00+00:00,3,7.8811,2.6270333333333333
0.1,2020-07-09 07:10:00+00:00,3,8.3954,2.7984666666666667
0.1,2020-07-09 07:15:00+00:00,2,7.4317,3.71585
0.1,2020-07-09 07:20:00+00:00,2,8.103,4.0515
0.1,2020-07-09 07:25:00+00:00,2,7.9038,3.9519
0.1,2020-07-09 07:30:00+00:00,3,9.1294,3.0431333333333335
0.1,2020-07-09 07:35:00+00:00,3,7.667,2.5556666666666668
0.1,2020-07-09 07:40:00+00:00,3,7.2486,2.4162
0.1,2020-07-09 07:45:00+00:00,3,3.9365,1.3121666666666667
0.1,2020-07-09 07:50:00+00:00,2,7.5888,3.7944
0.1,2020-07-09 07:55:00+00:00,2,8.9765,4.48825
0.1,2020-07-09 08:00:00+00:00,3,7.4744,2.4914666666666667
0.1,2020-07-09 08:05:00+00:00,3,9.8443,3.2814333333333336
0.1,2020-07-09 08:10:00+00:00,3,7.3085,2.436166666666667
0.1,2020-07-09 08:15:00+00:00,3,7.6001,2.5333666666666668
0.1,2020-07-09 08:20:00+00:00,3,6.4508,2.1502666666666665
0.1,2020-07-09 08:25:00+00:00,3,6.9561,2.3187
0.1,2020-07-09 08:30:00+00:00,3,7.6346,2.5448666666666666
0.1,2020-07-09 08:35:00+00:00,3,7.0064,2.3354666666666666
0.1,2020-07-09 08:40:00+00:00,2,8.0615,4.03075
0.1,2020-07-09 08:45:00+00:00,2,8.7312,4.3656
0.1,2020-07-09 08:50:00+00:00,3,7.6853,2.5617666666666667
0.1,2020-07-09 08:55:00+00:00,3,8.0471,2.682366666666667
0.1,2020-07-09 09:00:00+00:00,3,6.3219,2.1073
0.1,2020-07-09 09:05:00+00:00,3,7.7637,2.5879
0.1,2020-07-09 09:10:00+00:00,3,8.1114,2.7037999999999998
0.1,2020-07-09 09:15:00+00:00,3,4.7525,1.5841666666666667
0.1,2020-07-09 09:20:00+00:00,3,6.3143,2.104766666666667
0.1,2020-07-09 09:25:00+00:00,3,3.7139,1.2379666666666667
