split_type,threshold,method,strategy,bin,count,mean_predicted,observed_rate,min_predicted,max_predicted,abs_gap,weight,test_gateway
LOGO,0.1,sigmoid,equal_frequency,8.0,1575,0.0031488365832270586,0.015238095238095238,0.0031484783400673394,0.0031493873628270514,0.012089258654868179,0.10000634960949902,00000f0c210721f2
LOGO,0.1,sigmoid,equal_frequency,9.0,1575,0.003164792775114088,0.03111111111111111,0.003149388072033606,0.006666900036810012,0.027946318335997023,0.10000634960949902,00000f0c210721f2
LOGO,0.1,isotonic,equal_width,0.0,15749,0.0,0.010667343958346561,0.0,0.0,0.010667343958346561,1.0,00000f0c210721f2
LOGO,0.1,uncalibrated,equal_width,0.0,499,0.03493328763143924,0.01002004008016032,2.8611866640404125e-06,0.09992899205136416,0.02491324755127892,0.0731242672919109,00000f0c22433141
LOGO,0.1,uncalibrated,equal_width,1.0,237,0.1474804304589821,0.0379746835443038,0.10034789455481109,0.19836659015694075,0.10950574691467829,0.034730363423212195,00000f0c22433141
LOGO,0.1,uncalibrated,equal_width,2.0,185,0.24847583356898725,0.07567567567567568,0.20069435867371985,0.29986688730174976,0.17280015789331157,0.027110199296600235,00000f0c22433141
LOGO,0.1,uncalibrated,equal_width,3.0,201,0.34356070251754306,0.04477611940298507,0.3004342885803653,0.39920779195211237,0.29878458311455797,0.029454865181711608,00000f0c22433141
LOGO,0.1,uncalibrated,equal_width,4.0,188,0.44865521843577905,0.0797872340425532,0.40027345304448175,0.49875017260356896,0.3688679843932259,0.027549824150058615,00000f0c22433141
LOGO,0.1,uncalibrated,equal_width,5.0,206,0.5498352585139347,0.11165048543689321,0.5006630508988121,0.599678059682078,0.43818477307704146,0.03018757327080891,00000f0c22433141
LOGO,0.1,uncalibrated,equal_width,6.0,280,0.6499932999602518,0.09642857142857143,0.600280165322313,0.6997233996602565,0.5535647285316804,0.041031652989449004,00000f0c22433141
LOGO,0.1,uncalibrated,equal_width,7.0,350,0.7532380243110405,0.11428571428571428,0.7011721443310663,0.7997901860837878,0.6389523100253262,0.05128956623681125,00000f0c22433141
LOGO,0.1,uncalibrated,equal_width,8.0,533,0.8532427660225672,0.1801125703564728,0.8000623966747351,0.8998567918910748,0.6731301956660944,0.07810668229777257,00000f0c22433141
LOGO,0.1,uncalibrated,equal_width,9.0,4145,0.9818268991645139,0.4311218335343788,0.9000259362129596,0.9999999451248026,0.5507050656301351,0.6074150058616647,00000f0c22433141
LOGO,0.1,uncalibrated,equal_frequency,0.0,683,0.06231958700140074,0.014641288433382138,2.8611866640404125e-06,0.17193544251038476,0.047678298568018605,0.10008792497069167,00000f0c22433141
LOGO,0.1,uncalibrated,equal_frequency,1.0,682,0.3482497608853153,0.0689149560117302,0.17321264433962336,0.5270036238325377,0.2793348048735851,0.09994138335287221,00000f0c22433141
LOGO,0.1,uncalibrated,equal_frequency,2.0,682,0.6635150220100906,0.10850439882697947,0.5276412938200173,0.7769793956569075,0.5550106231831111,0.09994138335287221,00000f0c22433141
LOGO,0.1,uncalibrated,equal_frequency,3.0,683,0.8475909280006005,0.1683748169838946,0.7771626596605731,0.9071003310275079,0.679216111016706,0.10008792497069167,00000f0c22433141
LOGO,0.1,uncalibrated,equal_frequency,4.0,682,0.9381884604758839,0.2434017595307918,0.90735553575315,0.959852352148626,0.6947867009450921,0.09994138335287221,00000f0c22433141
LOGO,0.1,uncalibrated,equal_frequency,5.0,682,0.9737725880408241,0.3152492668621701,0.9599167209791817,0.9839881373433869,0.6585233211786541,0.09994138335287221,00000f0c22433141
LOGO,0.1,uncalibrated,equal_frequency,6.0,683,0.9899471316714912,0.3645680819912152,0.9840008824822787,0.9939414182417458,0.625379049680276,0.10008792497069167,00000f0c22433141
LOGO,0.1,uncalibrated,equal_frequency,7.0,682,0.9961886022939266,0.4413489736070381,0.9939446561518871,0.9979596527719937,0.5548396286868884,0.09994138335287221,00000f0c22433141
LOGO,0.1,uncalibrated,equal_frequency,8.0,682,0.9988765814641479,0.5586510263929618,0.9979606016809609,0.9995400893808971,0.4402255550711861,0.09994138335287221,00000f0c22433141
LOGO,0.1,uncalibrated,equal_frequency,9.0,683,0.9998325418500174,0.6837481698389458,0.9995415445699589,0.9999999451248026,0.31608437201107153,0.10008792497069167,00000f0c22433141
LOGO,0.1,sigmoid,equal_width,0.0,1519,0.01920372470943704,0.050032916392363395,0.0014873612891386347,0.09995169516266433,0.030829191682926357,0.22259671746776086,00000f0c22433141
LOGO,0.1,sigmoid,equal_width,1.0,322,0.14538903470287867,0.09627329192546584,0.1001064405375811,0.1999431006668198,0.04911574277741283,0.04718640093786636,00000f0c22433141
LOGO,0.1,sigmoid,equal_width,2.0,264,0.24981799838815386,0.10984848484848485,0.2000991898148895,0.2999367813012414,0.13996951353966902,0.038686987104337635,00000f0c22433141
LOGO,0.1,sigmoid,equal_width,3.0,293,0.35108511767297806,0.16723549488054607,0.30012208944677554,0.39982840271073966,0.183849622792432,0.04293669402110199,00000f0c22433141
