Accuracy,BalancedAcc,Precision,Recall,F1,ROC_AUC,PR_AUC,PositiveRate,PositiveCount,NegativeCount,valid_binary_test,threshold,train_samples,test_samples,feature_count,feature_setting,split_type,test_gateway
0.8851334802841049,0.4786842208377415,0.010471204188481676,0.0070921985815602835,0.008456659619450317,0.14340197894917536,0.04331977883819519,0.06906686260102865,282,3801,1,0.2,106065,4083,1,current_crc_only,leave_one_gateway_out,00800000a0001793
0.9103600293901543,0.6924969352969823,0.37349397590361444,0.4397163120567376,0.40390879478827363,0.8688344425972262,0.34873810648142883,0.06906686260102865,282,3801,1,0.2,106065,4083,32,without_current_crc,leave_one_gateway_out,00800000a0001793
0.934851824638746,0.6301421238531854,0.5571428571428572,0.2765957446808511,0.3696682464454976,0.8549420551889106,0.3522737109481348,0.06906686260102865,282,3801,1,0.2,106065,4083,28,without_current_rolling_crc,leave_one_gateway_out,00800000a0001793
0.16409502816556454,0.5477561895805695,0.07586020048767272,0.9929078014184397,0.1409514220991694,0.8373393713113942,0.3064955154521345,0.06906686260102865,282,3801,1,0.2,106065,4083,26,without_all_crc,leave_one_gateway_out,00800000a0001793
0.8528043105559637,0.45967886390479545,0.003115264797507788,0.0035460992907801418,0.003316749585406302,0.40543268755329415,0.05283282537882944,0.06906686260102865,282,3801,1,0.2,106065,4083,8,current_radio_only,leave_one_gateway_out,00800000a0001793
0.9309331373989713,0.5,0.0,0.0,0.0,0.5715461216813045,0.07845775742413819,0.06906686260102865,282,3801,1,0.2,106065,4083,2,delayed_radio_only,leave_one_gateway_out,00800000a0001793
0.5370646025602858,0.7328730339163921,0.1491469455145845,0.9678571428571429,0.25846447305674775,0.879949426993922,0.4044537587622575,0.08335814230425721,280,3079,1,0.2,106789,3359,33,full_features,leave_one_gateway_out,00800000a0001794
0.5659422447156892,0.36065048949102213,0.02576489533011272,0.11428571428571428,0.04204993429697766,0.21554829954066718,0.0505275136029778,0.08335814230425721,280,3079,1,0.2,106789,3359,1,current_crc_only,leave_one_gateway_out,00800000a0001794
0.5379577255135457,0.7333602050758595,0.149393605292172,0.9678571428571429,0.2588347659980898,0.879986544796548,0.4043956391022382,0.08335814230425721,280,3079,1,0.2,106789,3359,32,without_current_crc,leave_one_gateway_out,00800000a0001794
0.5328966954450729,0.725729596807869,0.14684931506849316,0.9571428571428572,0.25463182897862235,0.8544077390618476,0.34678470164545966,0.08335814230425721,280,3079,1,0.2,106789,3359,28,without_current_rolling_crc,leave_one_gateway_out,00800000a0001794
0.5337898183983328,0.575247645339396,0.1069682151589242,0.625,0.1826722338204593,0.6721732473437573,0.1765432559139807,0.08335814230425721,280,3079,1,0.2,106789,3359,26,without_all_crc,leave_one_gateway_out,00800000a0001794
0.5346829413515928,0.5465149863128103,0.09830932999373826,0.5607142857142857,0.16728822589238146,0.6026956804157194,0.10401307447276509,0.08335814230425721,280,3079,1,0.2,106789,3359,8,current_radio_only,leave_one_gateway_out,00800000a0001794
0.9047335516522774,0.5048676518350114,0.12962962962962962,0.025,0.041916167664670656,0.5090405048021157,0.08981361791140298,0.08335814230425721,280,3079,1,0.2,106789,3359,2,delayed_radio_only,leave_one_gateway_out,00800000a0001794
0.6151515151515151,0.7951612903225806,0.1360544217687075,1.0,0.23952095808383234,0.8987096774193549,0.35157283535582784,0.06060606060606061,20,310,1,0.2,109818,330,33,full_features,leave_one_gateway_out,00800000a0001914
0.5696969696969697,0.3032258064516129,0.0,0.0,0.0,0.11282258064516128,0.03550105701431612,0.06060606060606061,20,310,1,0.2,109818,330,1,current_crc_only,leave_one_gateway_out,00800000a0001914
0.6181818181818182,0.7967741935483871,0.136986301369863,1.0,0.24096385542168675,0.8987096774193549,0.35157283535582784,0.06060606060606061,20,310,1,0.2,109818,330,32,without_current_crc,leave_one_gateway_out,00800000a0001914
0.6,0.7403225806451613,0.12162162162162163,0.9,0.21428571428571427,0.8653225806451613,0.366224845491541,0.06060606060606061,20,310,1,0.2,109818,330,28,without_current_rolling_crc,leave_one_gateway_out,00800000a0001914
0.806060606060606,0.5459677419354838,0.09259259259259259,0.25,0.13513513513513514,0.6017741935483871,0.14916551677862594,0.06060606060606061,20,310,1,0.2,109818,330,26,without_all_crc,leave_one_gateway_out,00800000a0001914
0.693939393939394,0.48629032258064514,0.054945054945054944,0.25,0.09009009009009009,0.5419354838709678,0.1297230317363291,0.06060606060606061,20,310,1,0.2,109818,330,8,current_radio_only,leave_one_gateway_out,00800000a0001914
0.9272727272727272,0.5403225806451613,0.25,0.1,0.14285714285714285,0.45741935483870966,0.13285735906027166,0.06060606060606061,20,310,1,0.2,109818,330,2,delayed_radio_only,leave_one_gateway_out,00800000a0001914
0.957917184041462,0.6082033742132968,0.41836734693877553,0.2292103424178896,0.2961625282167043,0.8694185713292036,0.2940129203173483,0.03862765210818982,1431,35615,1,0.2,73102,37046,33,full_features,leave_one_gateway_out,7276ff002e062804
0.03938346920045349,0.49033208335945416,0.037907895448887924,0.9790356394129979,0.07298965849592332,0.35817019952785306,0.027650683251265178,0.03862765210818982,1431,35615,1,0.2,73102,37046,1,current_crc_only,leave_one_gateway_out,7276ff002e062804
0.9580251579117853,0.6082595303272937,0.4205128205128205,0.2292103424178896,0.2966983265490728,0.8697000778866856,0.29454290655071386,0.03862765210818982,1431,35615,1,0.2,73102,37046,32,without_current_crc,leave_one_gateway_out,7276ff002e062804
0.9595097986287319,0.5446412164881964,0.39882697947214074,0.09503843466107617,0.15349887133182843,0.8194259145946347,0.20945480067757088,0.03862765210818982,1431,35615,1,0.2,73102,37046,28,without_current_rolling_crc,leave_one_gateway_out,7276ff002e062804
0.9387518220590617,0.5123817167701052,0.07331975560081466,0.050314465408805034,0.059676750932449237,0.6603746507534132,0.06334610291701886,0.03862765210818982,1431,35615,1,0.2,73102,37046,26,without_all_crc,leave_one_gateway_out,7276ff002e062804
0.29269016897910705,0.5516472607265388,0.043860941297783014,0.8322851153039832,0.08333041805142558,0.5616831058686965,0.04390698171543113,0.03862765210818982,1431,35615,1,0.2,73102,37046,8,current_radio_only,leave_one_gateway_out,7276ff002e062804
0.039356475732872646,0.500043686788195,0.03863089931653024,0.9993011879804332,0.07438618393674573,0.5992940262118768,0.04922586937228787,0.03862765210818982,1431,35615,1,0.2,73102,37046,2,delayed_radio_only,leave_one_gateway_out,7276ff002e062804
